Parcela;Orientacion;Ecosistema;Cota;Microestacion;Tratamiento;Cobertura_arborea;Fecha;Cuadrante;Especie_dominante;Cobertura_entorno;Especies_juveniles;Num_juveniles;Altura_cm;Porte
Canar;Sur;Piornal;2000;39;Control;0;20240626;1;Thymus_zygis_gracilis;30;;0;;
Canar;Sur;Piornal;2000;39;Control;0;20240626;2;Thymus_zygis_gracilis;25;;0;;
Canar;Sur;Piornal;2000;39;Control;0;20240626;3;Cytisus_galianoi;50;;0;;
Canar;Sur;Piornal;2000;39;Control;0;20240626;4;Festuca_sp;80;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;1;Festuca_sp;100;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;2;Festuca_sp;60;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;3;Cytisus_galianoi;60;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;4;Cytisus_galianoi;80;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;1;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;2;Cytisus_galianoi;65;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;3;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;4;Cytisus_galianoi;40;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;1;Cytisus_galianoi;95;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;2;Cytisus_galianoi;95;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;3;Cytisus_galianoi;85;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;4;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;1;Cytisus_galianoi;75;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;2;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;3;Cytisus_galianoi;75;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;4;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;37;Refugio;0;20240626;1;Cytisus_galianoi;85;;0;;
Canar;Sur;Piornal;2000;37;Refugio;0;20240626;2;Cytisus_galianoi;65;;0;;
Canar;Sur;Piornal;2000;37;Refugio;0;20240626;3;Cytisus_galianoi;75;;0;;
Canar;Sur;Piornal;2000;37;Refugio;0;20240626;4;Cytisus_galianoi;65;;0;;
Canar;Sur;Robledal;1800;50;Refugio;0.76124272;20240626;1;Quercus_pyrenaica;90;Quercus_pyrenaica;3;25;Arbol
Canar;Sur;Robledal;1800;50;Refugio;0.76124272;20240626;1;Quercus_pyrenaica;90;Quercus_rotundifolia;1;25;Arbol
Canar;Sur;Robledal;1800;50;Refugio;0.76124272;20240626;2;Quercus_pyrenaica;80;Quercus_pyrenaica;4;25;Arbol
Canar;Sur;Robledal;1800;50;Refugio;0.76124272;20240626;3;Quercus_pyrenaica;100;Quercus_pyrenaica;4;25;Arbol
Canar;Sur;Robledal;1800;50;Refugio;0.76124272;20240626;4;Quercus_pyrenaica;100;Quercus_pyrenaica;3;25;Arbol
Canar;Sur;Robledal;1800;49;Control;0.43006552;20240626;1;Cytisus_galianoi;30;Quercus_rotundifolia;1;70;Arbol
Canar;Sur;Robledal;1800;49;Control;0.43006552;20240626;2;Cytisus_galianoi;35;Quercus_pyrenaica;2;10;Arbol
Canar;Sur;Robledal;1800;49;Control;0.43006552;20240626;3;Cytisus_galianoi;50;Quercus_pyrenaica;1;150;Arbol
Canar;Sur;Robledal;1800;49;Control;0.43006552;20240626;4;Cytisus_galianoi;60;Quercus_pyrenaica;2;150;Arbol
Canar;Sur;Robledal;1800;52;Refugio;0.293132894;20240626;1;Quercus_pyrenaica;100;Quercus_pyrenaica;4;15;Arbol
Canar;Sur;Robledal;1800;52;Refugio;0.293132894;20240626;2;Quercus_pyrenaica;80;Quercus_pyrenaica;2;15;Arbol
Canar;Sur;Robledal;1800;52;Refugio;0.293132894;20240626;3;Quercus_pyrenaica;100;;0;;
Canar;Sur;Robledal;1800;52;Refugio;0.293132894;20240626;4;Quercus_pyrenaica;80;Quercus_pyrenaica;2;15;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;1;Cytisus_galianoi;65;Adenocarpus_decorticans;1;15;Arbusto
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;1;Cytisus_galianoi;65;Quercus_pyrenaica;1;10;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;1;Cytisus_galianoi;65;Quercus_pyrenaica;1;40;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;2;Thymus_zygis_gracilis;40;Quercus_pyrenaica;2;30;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;2;Thymus_zygis_gracilis;40;Quercus_rotundifolia;1;55;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;2;Thymus_zygis_gracilis;40;Quercus_rotundifolia;1;20;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;2;Thymus_zygis_gracilis;40;Quercus_rotundifolia;1;40;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;3;Thymus_zygis_gracilis;30;Quercus_pyrenaica;6;30;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;4;Thymus_zygis_gracilis;35;Quercus_rotundifolia;2;30;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;4;Thymus_zygis_gracilis;35;Quercus_pyrenaica;8;30;Arbol
Canar;Sur;Robledal;1800;51;Control;0.388082823;20240626;4;Thymus_zygis_gracilis;35;Quercus_rotundifolia;1;60;Arbol
Canar;Sur;Robledal;1800;54;Refugio;0.677412767;20240626;1;Quercus_pyrenaica;90;Quercus_pyrenaica;2;15;Arbol
Canar;Sur;Robledal;1800;54;Refugio;0.677412767;20240626;2;Quercus_pyrenaica;95;;0;;
Canar;Sur;Robledal;1800;54;Refugio;0.677412767;20240626;3;Quercus_pyrenaica;90;Quercus_pyrenaica;2;15;Arbol
Canar;Sur;Robledal;1800;54;Refugio;0.677412767;20240626;4;Quercus_pyrenaica;80;Quercus_pyrenaica;3;15;Arbol
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;1;Quercus_pyrenaica;50;Quercus_pyrenaica;4;100;Arbol
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;1;Quercus_pyrenaica;50;Adenocarpus_decorticans;2;20;Arbusto
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;2;Quercus_pyrenaica;25;Quercus_pyrenaica;5;30;Arbol
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;3;Thymus_zygis_gracilis;20;Quercus_pyrenaica;1;35;Arbol
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;3;Thymus_zygis_gracilis;20;Quercus_rotundifolia;1;25;Arbol
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;3;Thymus_zygis_gracilis;20;Adenocarpus_decorticans;2;20;Arbusto
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;4;Thymus_zygis_gracilis;30;Quercus_rotundifolia;2;35;Arbol
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;4;Thymus_zygis_gracilis;30;Quercus_rotundifolia;1;20;Arbol
Canar;Sur;Robledal;1800;53;Control;0.0356836;20240626;4;Thymus_zygis_gracilis;30;Quercus_pyrenaica;2;20;Arbol
Canar;Sur;Robledal;1700;114;Refugio;0.822925837;20240626;1;Quercus_pyrenaica;30;Quercus_pyrenaica;1;40;Arbol
Canar;Sur;Robledal;1700;114;Refugio;0.822925837;20240626;1;Quercus_pyrenaica;30;Quercus_pyrenaica;1;10;Arbol
Canar;Sur;Robledal;1700;114;Refugio;0.822925837;20240626;2;Quercus_pyrenaica;80;Quercus_rotundifolia;2;25;Arbol
Canar;Sur;Robledal;1700;114;Refugio;0.822925837;20240626;2;Quercus_pyrenaica;80;Quercus_pyrenaica;1;30;Arbol
Canar;Sur;Robledal;1700;114;Refugio;0.822925837;20240626;3;Quercus_pyrenaica;20;Quercus_pyrenaica;1;100;Arbol
Canar;Sur;Robledal;1700;114;Refugio;0.822925837;20240626;3;Quercus_pyrenaica;20;Quercus_pyrenaica;2;50;Arbol
Canar;Sur;Robledal;1700;114;Refugio;0.822925837;20240626;4;Quercus_pyrenaica;80;Quercus_pyrenaica;3;40;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;1;Ulex_parviflorus;60;Quercus_rotundifolia;2;150;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;2;Ulex_parviflorus;40;Quercus_rotundifolia;3;25;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;2;Ulex_parviflorus;40;Quercus_pyrenaica;1;150;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;3;Ulex_parviflorus;40;Quercus_rotundifolia;1;150;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;3;Ulex_parviflorus;40;Quercus_rotundifolia;1;150;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;4;Ulex_parviflorus;50;Quercus_pyrenaica;1;150;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;4;Ulex_parviflorus;50;Quercus_pyrenaica;1;40;Arbol
Canar;Sur;Robledal;1700;9;Control;0.146584964;20240626;4;Ulex_parviflorus;50;Quercus_rotundifolia;1;70;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;1;Thymus_zygis_gracilis;30;Quercus_pyrenaica;1;35;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;2;Thymus_zygis_gracilis;25;Quercus_rotundifolia;1;40;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;3;Thymus_zygis_gracilis;30;Quercus_rotundifolia;2;150;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;3;Thymus_zygis_gracilis;30;Quercus_rotundifolia;1;40;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;4;Thymus_zygis_gracilis;30;Quercus_pyrenaica;1;150;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;4;Thymus_zygis_gracilis;30;Quercus_rotundifolia;1;100;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;4;Thymus_zygis_gracilis;30;Quercus_rotundifolia;1;60;Arbol
Canar;Sur;Robledal;1700;16;Control;0.031152651;20240626;4;Thymus_zygis_gracilis;30;Quercus_rotundifolia;1;20;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;1;Ulex_parviflorus;50;Quercus_rotundifolia;3;20;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;1;Ulex_parviflorus;50;Quercus_pyrenaica;2;30;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;2;Ulex_parviflorus;60;Quercus_pyrenaica;3;20;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;2;Ulex_parviflorus;60;Quercus_rotundifolia;4;30;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;3;Quercus_rotundifolia;60;Quercus_rotundifolia;2;30;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;3;Quercus_rotundifolia;60;Quercus_pyrenaica;1;30;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;4;Quercus_rotundifolia;20;Quercus_pyrenaica;2;30;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;4;Quercus_rotundifolia;20;Quercus_rotundifolia;1;60;Arbol
Canar;Sur;Robledal;1700;10;Refugio;0.725442196;20240626;4;Quercus_rotundifolia;20;Quercus_rotundifolia;1;20;Arbol
Canar;Sur;Robledal;1700;13;Control;0.003621479;20240626;1;Ulex_parviflorus;80;Quercus_rotundifolia;3;150;Arbol
Canar;Sur;Robledal;1700;13;Control;0.003621479;20240626;2;Ulex_parviflorus;75;Quercus_rotundifolia;2;150;Arbol
Canar;Sur;Robledal;1700;13;Control;0.003621479;20240626;3;Ulex_parviflorus;70;Quercus_rotundifolia;1;150;Arbol
Canar;Sur;Robledal;1700;13;Control;0.003621479;20240626;4;Ulex_parviflorus;50;;0;;
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;1;Quercus_pyrenaica;100;Quercus_rotundifolia;4;25;Arbol
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;1;Quercus_pyrenaica;100;Quercus_pyrenaica;4;25;Arbol
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;2;Ulex_parviflorus;50;Quercus_pyrenaica;2;40;Arbol
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;2;;50;Quercus_rotundifolia;3;20;Arbol
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;3;Quercus_pyrenaica;80;Quercus_rotundifolia;2;70;Arbol
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;3;Quercus_pyrenaica;80;Quercus_pyrenaica;2;50;Arbol
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;4;Quercus_pyrenaica;40;Quercus_rotundifolia;2;50;Arbol
Canar;Sur;Robledal;1700;12;Refugio;0.640656215;20240626;4;Quercus_pyrenaica;40;Quercus_pyrenaica;2;20;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_1-4;Refugio;0.713809552;20240627;1;Ulex_parviflorus;5;;0;;
Portugos;Sur;Pinar_sy;1700;Collar_1-4;Refugio;0.713809552;20240627;2;Ulex_parviflorus;35;Quercus_pyrenaica;4;15;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_1-4;Refugio;0.713809552;20240627;2;Ulex_parviflorus;35;Quercus_rotundifolia;1;20;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_1-4;Refugio;0.713809552;20240627;3;Ulex_parviflorus;5;Quercus_pyrenaica;3;15;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_1-4;Refugio;0.713809552;20240627;4;Ulex_parviflorus;20;Quercus_rotundifolia;1;40;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;1;Ulex_parviflorus;15;Quercus_rotundifolia;2;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;1;Ulex_parviflorus;15;Quercus_rotundifolia;1;5;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;2;Ulex_parviflorus;30;Quercus_pyrenaica;1;20;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;2;;30;Quercus_pyrenaica;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;3;Ulex_parviflorus;15;Quercus_pyrenaica;1;25;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;3;;15;Quercus_rotundifolia;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;4;Ulex_parviflorus;30;Quercus_rotundifolia;1;25;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;4;Ulex_parviflorus;30;Quercus_rotundifolia;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_5-8;Control;0.825429393;20240627;4;Ulex_parviflorus;30;Quercus_pyrenaica;1;20;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;1;Ulex_parviflorus;10;Quercus_rotundifolia;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;1;Ulex_parviflorus;10;Quercus_pyrenaica;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;2;Ulex_parviflorus;15;Quercus_rotundifolia;2;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;2;Ulex_parviflorus;15;Quercus_pyrenaica;3;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;2;Ulex_parviflorus;15;Quercus_rotundifolia;1;15;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;3;Ulex_parviflorus;30;Quercus_rotundifolia;1;15;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;4;Ulex_parviflorus;35;Quercus_pyrenaica;3;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_9-12;Refugio;0.836731897;20240627;4;Ulex_parviflorus;35;Quercus_pyrenaica;1;18;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;1;Ulex_parviflorus;35;Quercus_pyrenaica;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;1;Ulex_parviflorus;35;Quercus_rotundifolia;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;2;Ulex_parviflorus;30;Quercus_rotundifolia;1;15;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;2;Ulex_parviflorus;30;Quercus_rotundifolia;1;5;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;3;Ulex_parviflorus;20;Quercus_rotundifolia;2;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;3;Ulex_parviflorus;20;Quercus_pyrenaica;2;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;4;Ulex_parviflorus;30;Quercus_rotundifolia;1;20;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;4;Ulex_parviflorus;30;Quercus_pyrenaica;3;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_13-16;Control;0.839677225;20240627;4;Ulex_parviflorus;30;Prunus_avium;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;1;Ulex_parviflorus;30;Quercus_pyrenaica;1;30;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;1;Ulex_parviflorus;30;Quercus_rotundifolia;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;2;Ulex_parviflorus;30;Quercus_pyrenaica;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;3;Ulex_parviflorus;25;Quercus_rotundifolia;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;4;Ulex_parviflorus;35;Quercus_pyrenaica;1;20;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;4;Ulex_parviflorus;35;Quercus_rotundifolia;1;20;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;4;Ulex_parviflorus;35;Quercus_rotundifolia;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_21-24;Control;0.866560818;20240627;4;Ulex_parviflorus;35;Quercus_rotundifolia;1;30;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;1;Ulex_parviflorus;30;Quercus_rotundifolia;2;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;1;Ulex_parviflorus;30;Quercus_pyrenaica;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;2;Ulex_parviflorus;15;Quercus_pyrenaica;1;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;2;Ulex_parviflorus;15;Quercus_rotundifolia;2;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;3;Ulex_parviflorus;10;Quercus_rotundifolia;1;25;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;3;Ulex_parviflorus;10;Quercus_pyrenaica;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;4;Ulex_parviflorus;20;Quercus_rotundifolia;3;15;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;4;Ulex_parviflorus;20;Quercus_pyrenaica;2;8;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;4;Ulex_parviflorus;20;Quercus_pyrenaica;1;25;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;4;Ulex_parviflorus;20;Quercus_rotundifolia;1;10;Arbol
Portugos;Sur;Pinar_sy;1700;Collar_17-20;Refugio;0.644618943;20240627;4;Ulex_parviflorus;20;Quercus_pyrenaica;1;5;Arbol
Portugos;Sur;Pinar_sy;1700;4018;Control;0;20250709;1;Thymus_zygis_gracilis;60;;0;;
Portugos;Sur;Pinar_sy;1700;4018;Control;0;20250709;2;Erinacea_sp;60;;0;;
Portugos;Sur;Pinar_sy;1700;4018;Control;0;20250709;3;Thymus_zygis_gracilis;70;;0;;
Portugos;Sur;Pinar_sy;1700;4018;Control;0;20250709;4;Erinacea_sp;40;;0;;
Portugos;Sur;Pinar_sy;1700;3560;Control;0;20250709;1;Erinacea_sp;80;;0;;
Portugos;Sur;Pinar_sy;1700;3560;Control;0;20250709;2;Erinacea_sp;65;;0;;
Portugos;Sur;Pinar_sy;1700;3560;Control;0;20250709;3;Erinacea_sp;70;;0;;
Portugos;Sur;Pinar_sy;1700;3560;Control;0;20250709;4;Erinacea_sp;70;;0;;
Portugos;Sur;Pinar_sy;1700;1486;Control;0;20250709;1;Erinacea_sp;75;;0;;
Portugos;Sur;Pinar_sy;1700;1486;Control;0;20250709;2;Erinacea_sp;70;;0;;
Portugos;Sur;Pinar_sy;1700;1486;Control;0;20250709;3;Erinacea_sp;70;;0;;
Portugos;Sur;Pinar_sy;1700;1486;Control;0;20250709;4;Erinacea_sp;75;;0;;
Canar;Sur;Piornal;1900;63;Refugio;0;20240627;1;Cytisus_galianoi;60;Quercus_pyrenaica;2;100;Arbol
